X,Y,SiteID,SensorDate,SensorID,Confidence,Main_Damag,SensorDa_1,SensorID_2,Confiden_1,Main_Dam_1,Damage_Sta,SensorDa_2,SensorID_3,Confiden_2,Damage_S_1,SensorDa_3,SensorID_4,Confiden_3,Main_Dam_2,Damage_S_2,SensorDa_4,SensorID_5,Confiden_4,Main_Dam_3,Damage_S_3,SensorDa_5,SensorID_6,Confiden_5,Main_Dam_4,Damage_S_4,FieldValid,Notes,Settlement,Neighborho,EventCode,Analyst,Main_Dam_5
4190161.7137,5961201.4224,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190020.6905,5961085.2701,"26",2022/03/14,"2","1","1",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189799.4983,5961162.7932,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189728.8545,5961170.9953,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189732.0295,5961106.966,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189601.325,5961172.5828,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189336.7412,5960825.1842,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189609.5271,5960541.8148,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189742.3482,5960901.3843,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190046.6197,5960383.5937,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189919.0903,5960887.3614,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190093.9802,5960941.0719,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190099.2719,5960998.7512,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190685.0605,5960922.551,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190763.3774,5960896.8864,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190754.3815,5960813.807,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190810.4733,5960889.7426,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190868.1526,5960571.9774,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190938.0027,5961004.3074,"26",2022/03/14,"2","2","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190906.2526,5960750.5715,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191095.4301,5960385.9749,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191347.5785,5960859.3155,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187463.0409,5960412.8798,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187364.07,5960422.3056,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187416.6561,5960522.7648,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187720.7622,5960635.6263,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187581.8556,5960430.2431,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187682.3148,5960417.5927,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187876.2879,5960653.7338,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191259.654,5960072.3108,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191288.6755,5960031.631,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191310.5037,5959983.0137,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191335.8045,5959881.0662,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191164.6519,5959825.2556,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4191215.9977,5960111.0062,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
